|country|points|price
223|Portugal|90|25.0
224|US|90|28.0
225|US|89|45.0
226|France|85|
227|New Zealand|91|50.0
228|Italy|87|15.0
229|France|91|
230|New Zealand|90|
231|Argentina|88|45.0
232|Italy|87|
233|Italy|87|
234|France|90|31.0
235|Italy|95|40.0
236|Italy|85|
237|US|90|29.0
238|US|87|12.0
239|Italy|88|18.0
240|France|88|17.0
241|France|95|
242|US|87|20.0
243|Portugal|92|30.0
244|Portugal|91|
245|US|90|13.0
246|US|92|45.0
247|South Africa|90|20.0
248|Italy|85|13.0
249|Portugal|86|17.0
250|New Zealand|87|14.0
251|US|85|10.0
252|US|91|
253|US|80|13.0
254|US|87|36.0
255|Austria|91|37.0
256|US|85|30.0
257|Spain|84|18.0
258|New Zealand|86|25.0
259|Bulgaria|86|10.0
260|US|81|28.0
261|US|87|45.0
262|Austria|90|14.0
263|US|90|32.0
264|US|86|30.0
265|US|81|18.0
266|US|96|45.0
267|Australia|95|105.0
268|France|90|
269|US|83|28.0
270|Australia|89|13.0
271|Greece|86|16.0
272|Spain|87|12.0
273|Italy|93|140.0
274|US|85|32.0
275|Italy|92|84.0
276|Italy|88|30.0
277|Italy|91|
278|Spain|89|25.0
279|Argentina|85|11.0
280|US|81|25.0
281|Italy|89|46.0
282|US|82|24.0
283|France|85|10.0
284|Italy|95|
285|US|81|18.0
286|US|85|24.0
287|France|96|360.0
288|New Zealand|90|26.0
289|Australia|86|19.0
290|Argentina|92|43.0
291|US|84|24.0
292|US|90|24.0
293|US|87|
294|Italy|90|50.0
295|US|90|35.0
296|France|91|28.0
297|Italy|91|30.0
298|Argentina|80|11.0
299|France|83|
300|Italy|88|20.0
301|Italy|88|65.0
302|US|86|21.0
303|US|90|24.0
304|Argentina|87|11.0
305|US|95|56.0
306|US|87|30.0
307|Chile|86|9.0
308|Italy|84|16.0
309|Argentina|84|13.0
310|Portugal|84|
311|Italy|86|
312|US|85|14.0
313|US|89|38.0
314|US|91|17.0
315|US|87|30.0
316|Italy|87|17.0
317|Spain|88|20.0
318|Italy|90|35.0
319|France|83|19.0
320|Chile|87|10.0
321|US|90|43.0
322|Chile|83|11.0
323|Greece|87|17.0
324|US|90|30.0
325|France|86|26.0
326|US|80|12.0
327|US|84|16.0
328|US|80|18.0
329|US|87|26.0
330|Italy|93|154.0
331|Italy|92|50.0
332|Spain|85|10.0
333|France|89|39.0
334|US|90|30.0
335|South Africa|84|13.0
336|Italy|86|
337|France|90|30.0
338|France|91|
339|Italy|84|11.0
340|US|87|17.0
341|Greece|84|16.0
342|US|90|100.0
343|Argentina|85|9.0
344|Argentina|83|12.0
345|US|82|12.0
346|Spain|86|18.0
347|Italy|87|22.0
348|New Zealand|90|22.0
349|Italy|86|
350|Italy|90|35.0
351|Italy|88|10.0
352|US|91|46.0
353|US|82|8.0
354|US|90|21.0
355|US|94|44.0
356|Australia|89|85.0
357|US|89|29.0
358|France|88|16.0
359|US|86|15.0
360|Italy|91|40.0
361|US|96|55.0
362|US|92|100.0
363|Spain|86|13.0
364|US|88|40.0
365|US|87|20.0
366|US|92|35.0
367|France|87|14.0
368|US|89|21.0
369|France|92|
370|US|88|22.0
371|France|93|100.0
372|US|94|45.0
373|Argentina|82|18.0
374|Italy|87|18.0
375|Austria|88|
376|US|88|70.0
377|New Zealand|90|25.0
378|France|84|22.0
379|Italy|87|
380|Spain|88|7.0
381|Italy|90|48.0
382|Chile|88|15.0
383|US|88|35.0
384|Australia|87|10.0
385|France|89|
386|Italy|89|68.0
387|US|90|45.0
388|US|85|22.0
389|Italy|86|
390|Chile|87|13.0
391|France|86|22.0
392|US|87|24.0
393|Mexico|81|22.0
394|Austria|89|22.0
395|France|87|22.0
396|Argentina|92|75.0
397|Chile|90|22.0
398|US|86|13.0
399|Italy|92|55.0
400|France|89|46.0
401|US|95|95.0
402|US|86|18.0
403|Italy|88|18.0
404|US|91|60.0
405|South Africa|90|65.0
406|US|88|10.0
407|Argentina|86|16.0
408|France|86|10.0
409|US|90|30.0
410|Italy|85|22.0
411|France|90|
412|Italy|90|60.0
413|Spain|89|40.0
414|Chile|83|11.0
415|US|87|28.0
416|US|89|30.0
417|Italy|86|15.0
418|US|88|28.0
419|New Zealand|92|22.0
420|France|91|70.0
421|US|90|33.0
422|US|92|85.0
423|US|81|72.0
424|US|85|15.0
425|US|83|22.0
426|Italy|92|65.0
427|Chile|86|12.0
428|US|82|18.0
429|Spain|87|11.0
430|Germany|90|28.0
431|France|85|24.0
432|France|89|40.0
433|US|92|22.0
434|Italy|85|12.0
435|Portugal|90|18.0
436|US|90|40.0
437|Portugal|87|
438|France|84|10.0
439|Italy|87|26.0
440|Italy|96|169.0
441|South Africa|84|13.0
442|Cyprus|84|12.0
443|US|86|40.0
444|Croatia|89|21.0
445|US|88|29.0
446|Italy|85|19.0
447|Chile|84|10.0
448|Chile|90|35.0
449|Italy|87|15.0
450|Chile|85|10.0
451|Chile|86|15.0
452|US|88|12.0
453|US|86|31.0
454|Italy|94|95.0
455|US|86|13.0
456|US|84|8.0
457|France|87|13.0
458|France|88|90.0
459|Italy|89|23.0
460|Portugal|84|5.0
461|Italy|91|
462|Italy|90|80.0
463|US|82|35.0
464|Germany|91|32.0
465|US|88|14.0
466|US|84|10.0
467|US|88|24.0
468|US|84|70.0
469|Italy|87|15.0
470|US|85|30.0
471|France|98|757.0
472|US|87|20.0
473|Austria|85|
474|Italy|88|20.0
475|France|89|
476|US|90|24.0
477|Argentina|90|25.0
478|France|87|15.0
479|US|87|13.0
480|France|88|17.0
481|US|93|14.0
482|US|87|20.0
483|Argentina|87|23.0
484|US|89|45.0
485|South Africa|90|65.0
486|US|88|50.0
487|US|87|32.0
488|Italy|90|34.0
489|Italy|89|47.0
490|US|86|28.0
491|US|88|11.0
492|US|85|68.0
493|US|89|14.0
494|US|97|78.0
495|Austria|90|
496|Italy|87|13.0
497|Spain|85|13.0
498|Argentina|82|15.0
499|US|85|50.0
500|Italy|89|20.0
501|Spain|88|48.0
502|US|85|35.0
503|US|91|16.0
504|France|93|191.0
505|US|87|19.0
506|Spain|89|18.0
507|France|90|75.0
508|US|81|20.0
509|Spain|90|28.0
510|Italy|88|16.0
511|US|84|15.0
512|Italy|94|117.0
513|France|89|16.0
514|US|85|25.0
515|France|88|51.0
516|US|86|65.0
517|US|87|24.0
518|South Africa|83|9.0
519|Portugal|88|
520|US|88|18.0
521|US|92|24.0
522|US|85|21.0
523|US|93|35.0
524|US|88|60.0
525|Austria|94|40.0
526|Argentina|86|17.0
527|Chile|93|95.0
528|Austria|88|24.0
529|France|86|
530|Chile|88|10.0
531|US|90|16.0
532|France|92|35.0
533|Italy|91|53.0
534|Israel|90|20.0
535|US|92|20.0
536|US|92|37.0
537|Portugal|87|13.0
538|US|81|18.0
539|Portugal|87|
540|Argentina|90|65.0
541|US|86|28.0
542|US|85|19.0
543|Italy|84|13.0
544|US|93|40.0
545|France|90|21.0
546|Italy|88|30.0
547|Italy|86|15.0
548|South Africa|89|17.0
549|South Africa|86|10.0
550|Italy|85|25.0
551|Hungary|89|70.0
552|Spain|89|25.0
553|Argentina|80|12.0
554|US|90|36.0
555|US|87|28.0
556|France|87|36.0
557|US|84|29.0
558|US|91|48.0
559|US|86|10.0
560|US|81|34.0
561|France|86|60.0
562|US|86|14.0
563|Canada|90|30.0
564|US|87|18.0
565|Argentina|90|47.0
566|Germany|87|29.0
567|US|94|89.0
568|US|93|30.0
569|US|80|26.0
570|US|85|15.0
571|US|91|26.0
572|Argentina|83|10.0
573|Argentina|86|25.0
574|France|86|12.0
575|France|89|44.0
576|US|96|65.0
577|France|84|8.0
578|Spain|88|45.0
579|US|81|20.0
580|New Zealand|91|45.0
581|US|91|18.0
582|US|84|20.0
583|US|93|26.0
584|US|88|32.0
585|Portugal|85|15.0
586|US|88|26.0
587|US|88|13.0
588|New Zealand|88|20.0
589|Italy|89|22.0
590|Spain|83|15.0
591|US|85|165.0
592|South Africa|85|10.0
593|Argentina|88|19.0
594|Argentina|87|15.0
595|Italy|92|
596|US|84|20.0
597|US|91|31.0
598|Spain|87|6.0
599|US|85|24.0
600|Italy|86|18.0
601|Chile|85|13.0
602|France|85|24.0
603|US|84|16.0
604|US|90|15.0
605|US|82|10.0
606|France|90|
607|France|90|20.0
608|Australia|88|23.0
609|US|87|32.0
610|Chile|82|13.0
611|Italy|88|16.0
612|US|85|15.0
613|US|88|18.0
614|US|88|37.0
615|Argentina|84|15.0
616|US|88|35.0
617|Italy|88|24.0
618|US|90|80.0
619|US|86|15.0
620|US|89|35.0
621|US|83|12.0
622|US|85|40.0
623|US|88|36.0
624|France|89|
625|Italy|85|16.0
626|Italy|89|15.0
627|US|91|30.0
628|US|87|28.0
629|US|87|28.0
630|France|84|12.0
631|France|89|26.0
632|Australia|86|14.0
633|US|89|33.0
634|Argentina|89|25.0
635|France|89|95.0
636|Italy|90|24.0
637|France|87|10.0
638|Italy|85|12.0
639|Spain|88|37.0
640|Argentina|89|15.0
641|Portugal|83|13.0
642|US|89|50.0
643|US|83|8.0
644|France|92|
645|US|88|39.0
646|US|81|17.0
647|US|93|38.0
648|US|84|22.0
649|US|83|12.0
650|France|83|15.0
651|US|93|36.0
652|US|93|36.0
653|New Zealand|86|15.0
654|Spain|88|20.0
655|US|89|38.0
656|US|87|25.0
657|US|82|20.0
658|Chile|87|18.0
659|Italy|91|60.0
660|US|88|8.0
661|US|85|22.0
662|France|90|24.0
663|US|95|25.0
664|France|84|22.0
665|France|92|
666|Spain|85|16.0
667|US|90|35.0
668|US|89|55.0
669|France|85|20.0
670|US|86|13.0
671|Italy|88|36.0
672|US|87|45.0
673|US|91|27.0
674|Italy|94|
675|France|82|15.0
676|US|82|15.0
677|US|88|36.0
678|France|88|16.0
679|Italy|88|25.0
680|US|87|15.0
681|Australia|88|40.0
682|US|87|28.0
683|New Zealand|88|80.0
684|Argentina|82|20.0
685|Italy|89|20.0
686|US|91|42.0
687|France|86|
688|US|87|28.0
689|US|90|20.0
690|Argentina|86|17.0
691|New Zealand|91|33.0
692|France|84|13.0
693|US|87|22.0
694|US|86|50.0
695|Italy|88|35.0
696|US|80|40.0
697|US|87|70.0
698|France|87|12.0
699|US|86|16.0
700|US|85|30.0
701|Australia|90|15.0
702|Argentina|84|22.0
703|Italy|90|48.0
704|New Zealand|87|16.0
705|US|86|16.0
706|France|88|35.0
707|France|92|
708|US|87|38.0
709|Germany|87|20.0
710|US|85|25.0
711|US|88|40.0
712|US|85|14.0
713|France|84|14.0
714|France|87|
715|Italy|90|50.0
716|Austria|93|60.0
717|US|88|34.0
718|France|88|35.0
719|US|89|32.0
720|US|83|30.0
721|US|87|24.0
722|US|90|35.0
723|Argentina|92|50.0
724|Italy|86|28.0
725|US|86|30.0
726|US|84|24.0
727|US|84|6.0
728|Spain|85|30.0
729|US|91|32.0
730|France|87|17.0
731|Spain|86|103.0
732|US|88|38.0
733|New Zealand|84|20.0
734|US|86|50.0
735|Italy|84|17.0
736|US|91|48.0
737|France|84|15.0
738|Spain|83|9.0
739|US|89|25.0
740|France|84|15.0
741|Argentina|86|18.0
742|France|90|
743|Italy|89|20.0
744|US|92|75.0
745|US|87|20.0
746|France|88|75.0
747|US|86|13.0
748|US|84|12.0
749|Chile|84|10.0
750|Australia|84|8.0
751|Argentina|89|20.0
752|France|91|40.0
753||90|17.0
754|France|86|9.0
755|Spain|87|8.0
756|France|90|
757|Australia|86|13.0
758|US|86|33.0
759|Australia|92|28.0
760|Spain|88|20.0
761|Chile|88|13.0
762|Chile|86|10.0
763|US|82|17.0
764|France|83|13.0
765|France|87|
766|US|88|50.0
767|US|85|34.0
768|US|93|30.0
769|Italy|87|14.0
770|Portugal|90|17.0
771|Austria|92|60.0
772|US|85|24.0
773|US|84|12.0
774|New Zealand|91|22.0
775|Australia|90|30.0
776|US|84|40.0
777|Spain|85|15.0
778|Chile|89|23.0
779|France|94|200.0
780|Argentina|84|11.0
781|US|93|32.0
782|US|85|14.0
783|Argentina|88|50.0
784|France|89|
785|France|91|
786|Greece|87|13.0
787|US|93|50.0
788|Italy|86|
789|Italy|89|20.0
790|Austria|86|14.0
791|Italy|89|32.0
792|France|88|12.0
793|US|88|23.0
794|Portugal|87|
795|US|87|20.0
796|US|88|32.0
797|Portugal|88|28.0
798|Italy|88|
799|Chile|88|12.0
800|Argentina|83|19.0
801|US|90|36.0
802|US|86|59.0
803|Spain|87|29.0
804|US|89|16.0
805|France|85|17.0
806|Greece|86|9.0
807|US|81|18.0
808|Spain|84|15.0
809|South Africa|87|23.0
810|US|91|42.0
811|Italy|84|15.0
812|Italy|94|75.0
813|Chile|88|80.0
814|France|87|12.0
815|US|94|20.0
816|Italy|89|
817|US|91|40.0
818|US|85|20.0
819|Spain|82|13.0
820|France|93|
821|Italy|86|
822|France|95|110.0
823|Spain|88|29.0
824|US|86|58.0
825|Hungary|83|20.0
826|US|91|45.0
827|US|88|17.0
828|Italy|93|
829|US|89|28.0
830|US|86|16.0
831|Chile|85|12.0
832|France|90|20.0
833|US|94|70.0
834|US|86|15.0
835|US|86|75.0
836|Italy|87|23.0
837|Romania|88|100.0
838|Chile|83|12.0
839|Spain|89|9.0
840|Italy|86|25.0
841|Spain|88|21.0
842|Germany|91|107.0
843|France|93|
844|Argentina|84|8.0
845|France|85|18.0
846|Germany|89|34.0
847|US|89|18.0
848|Argentina|87|19.0
849|Italy|89|28.0
850|Argentina|85|8.0
851|US|90|25.0
852|US|86|16.0
853|Germany|86|70.0
854|Spain|83|13.0
855|New Zealand|87|15.0
856|Italy|88|
857|US|88|33.0
858|Australia|87|25.0
859|Italy|85|13.0
860|France|84|14.0
861|US|86|27.0
862|New Zealand|88|21.0
863|US|89|16.0
864|Spain|88|12.0
865|Germany|88|21.0
866|Italy|93|
867|US|87|25.0
868|France|91|17.0
869|US|83|10.0
870|US|90|26.0
871|US|83|20.0
872|US|90|10.0
873|Italy|88|38.0
874|Austria|92|40.0
875|Argentina|83|16.0
876|US|91|24.0
877|Italy|89|44.0
878|US|87|13.0
879|Australia|90|21.0
880|France|91|20.0
881|Italy|86|
882|Greece|85|16.0
883|Australia|85|20.0
884|Italy|89|
885|Argentina|89|18.0
886|US|85|16.0
887|US|85|30.0
888|US|87|25.0
889|US|87|11.0
890|US|92|70.0
891|Spain|84|16.0
892|Australia|84|8.0
893|Portugal|89|70.0
894|Italy|92|41.0
895|France|90|24.0
896|US|87|34.0
897|US|87|20.0
898|Italy|87|
899|New Zealand|87|50.0
900|Italy|88|20.0
901|Portugal|90|20.0
902|US|81|95.0
903|US|83|33.0
904|Spain|82|10.0
905|Austria|87|16.0
906|France|94|61.0
907|Italy|87|
908|US|89|40.0
909|US|90|35.0
910|Chile|86|19.0
911|Spain|93|93.0
912|Argentina|88|12.0
913|France|86|
914|Austria|90|48.0
915|US|87|38.0
916|Italy|90|
917|US|89|16.0
918|US|87|11.0
919|Chile|84|15.0
920|US|87|55.0
921|France|89|48.0
922|Italy|85|
923|US|86|44.0
924|Italy|90|28.0
925|Chile|86|7.0
926|US|82|10.0
927|Spain|88|10.0
928|France|88|12.0
929|Spain|90|36.0
930|US|85|27.0
931|Italy|87|15.0
932|Argentina|91|70.0
933|US|90|40.0
934|France|88|17.0
935|US|80|35.0
936|US|88|15.0
937|Portugal|85|10.0
938|Spain|91|35.0
939|US|91|50.0
940|US|88|50.0
941|US|84|9.0
942|US|84|60.0
943|US|92|30.0
944|Spain|85|20.0
945|Australia|86|13.0
946|US|88|22.0
947|Australia|88|16.0
948|US|82|17.0
949|Spain|89|29.0
950|Germany|97|250.0
951|Austria|92|20.0
952|South Africa|85|15.0
953|France|93|
954|Chile|83|11.0
955|Italy|85|10.0
956|US|84|20.0
957|France|85|24.0
958|US|96|135.0
959|US|88|23.0
960|Germany|91|24.0
961|Chile|90|235.0
962|Germany|89|21.0
963|New Zealand|86|16.0
964|Austria|90|15.0
965|US|96|90.0
966|Portugal|85|9.0
967|France|94|
968|Italy|86|23.0
969|Argentina|92|90.0
970|US|94|55.0
971|US|96|85.0
972|France|94|67.0
973|Greece|88|16.0
974|US|90|75.0
975|US|87|35.0
976|US|86|24.0
977|France|95|87.0
978|US|83|18.0
979|Chile|86|10.0
980|Argentina|88|15.0
981|Spain|83|19.0
982|Italy|88|
983|Italy|87|13.0
984|US|90|25.0
985|US|91|38.0
986|Italy|92|70.0
987|US|87|24.0
988|France|88|20.0
989|Spain|87|15.0
990|US|92|56.0
991|France|86|
992|US|87|15.0
993|US|86|12.0
994|Portugal|85|10.0
995|US|88|35.0
996|France|93|
997|US|91|28.0
998|US|83|10.0
999|US|89|22.0
1000|Italy|84|13.0
1001|France|90|12.0
1002|Argentina|87|10.0
1003|US|89|34.0
1004|US|87|23.0
1005|Australia|90|19.0
1006|US|87|25.0
1007|US|84|22.0
1008|Portugal|88|16.0
1009|US|90|28.0
1010|Australia|86|13.0
1011|US|86|49.0
1012|Argentina|91|15.0
1013|US|84|22.0
1014|France|88|95.0
1015|US|91|80.0
1016|US|87|45.0
1017|US|86|20.0
1018|US|91|35.0
1019|US|86|55.0
1020|US|89|35.0
1021|US|85|25.0
1022|France|87|17.0
1023|Argentina|85|17.0
1024|Italy|87|20.0
1025|Spain|92|54.0
1026|Italy|87|28.0
1027|US|83|19.0
1028|Spain|84|12.0
1029|Australia|88|30.0
1030|Australia|91|65.0
1031|US|97|42.0
1032|US|91|50.0
1033|US|87|40.0
1034|US|90|26.0
1035|US|93|40.0
1036|Austria|88|20.0
1037|Argentina|92|90.0
1038|US|87|22.0
1039|France|90|
1040|US|86|20.0
1041|India|90|12.0
1042|US|87|25.0
1043|Italy|92|49.0
1044|US|88|16.0
1045|US|87|25.0
1046|Australia|88|17.0
1047|US|84|18.0
1048|US|93|48.0
1049|US|86|17.0
1050|France|89|
1051|US|87|30.0
1052|Spain|94|247.0
1053|Argentina|87|9.0
1054|US|91|40.0
1055|New Zealand|90|24.0
1056|US|87|75.0
1057|France|89|25.0
1058|US|88|20.0
1059|Italy|88|29.0
1060|France|87|22.0
1061|France|91|
1062|US|84|10.0
1063|Italy|91|
1064|Italy|89|23.0
1065|Portugal|89|18.0
1066|Germany|83|12.0
1067|US|88|16.0
1068|US|88|42.0
1069|Italy|87|19.0
1070|Italy|87|12.0
1071|US|92|38.0
1072|US|95|75.0
1073|Argentina|91|19.0
1074|US|92|110.0
1075|US|90|15.0
1076|France|86|
1077|US|84|13.0
1078|Italy|92|45.0
1079|US|90|32.0
1080|US|80|17.0
1081|France|87|20.0
1082|US|80|20.0
1083|Italy|87|20.0
1084|Italy|93|110.0
1085|Germany|90|18.0
1086|US|82|35.0
1087|France|89|60.0
1088|US|86|14.0
1089|Chile|89|30.0
1090|France|84|16.0
1091|US|94|52.0
1092|US|88|16.0
1093|France|90|29.0
1094|US|88|35.0
1095|Spain|84|15.0
1096|US|82|10.0
1097|US|85|20.0
1098|US|93|36.0
1099|New Zealand|83|16.0
1100|Italy|85|13.0
1101|US|85|65.0
1102|Austria|86|20.0
1103|Australia|84|15.0
1104|Italy|86|23.0
1105|France|92|45.0
1106|US|88|30.0
1107|Italy|87|16.0
1108|Chile|89|28.0
1109|US|85|15.0
1110|US|87|24.0
1111|Italy|89|19.0
1112|Spain|88|17.0
1113|New Zealand|93|
1114|Australia|85|20.0
1115|Chile|83|
1116|France|87|50.0
1117|US|89|55.0
1118|US|94|75.0
1119|US|84|10.0
1120|Italy|84|17.0
1121|Italy|87|
1122|Georgia|90|18.0
1123|Australia|87|17.0
1124|Italy|90|38.0
1125|US|83|28.0
1126|France|94|180.0
1127|US|84|13.0
1128|Australia|86|10.0
1129|US|91|16.0
1130|Portugal|87|50.0
1131|Germany|89|18.0
1132|US|85|20.0
1133|France|88|
1134|Spain|88|17.0
1135|Italy|87|15.0
1136|US|87|14.0
1137|South Africa|85|14.0
1138|US|83|7.0
1139|Italy|83|
1140|US|87|18.0
1141|US|83|30.0
1142|Portugal|94|35.0
1143|Italy|86|
1144|South Africa|84|10.0
1145|France|88|
1146|Argentina|88|17.0
1147|Germany|87|11.0
1148|US|94|60.0
1149|US|84|18.0
1150|France|87|22.0
1151|US|86|35.0
1152|Italy|87|13.0
1153|South Africa|84|10.0
1154|Germany|90|40.0
1155|US|84|25.0
1156|US|92|35.0
1157|Spain|86|9.0
1158|US|87|29.0
1159|Italy|92|50.0
1160|France|87|
1161|US|93|80.0
1162|US|84|15.0
1163|Spain|86|14.0
1164|Italy|92|66.0
1165|US|84|32.0
1166|Spain|89|48.0
1167|US|94|45.0
1168|Italy|87|25.0
1169|US|87|28.0
1170|South Africa|86|13.0
1171|France|91|25.0
1172|US|87|15.0
1173|France|93|34.0
1174|Spain|88|16.0
1175|France|85|12.0
1176|South Africa|90|45.0
1177|US|92|125.0
1178|Spain|84|26.0
1179|US|92|85.0
1180|Spain|86|12.0
1181|Italy|89|40.0
1182|Australia|88|24.0
1183|Spain|89|30.0
1184|France|92|
1185|US|90|23.0
1186|US|82|16.0
1187|Italy|87|12.0
1188|France|87|11.0
1189|Argentina|82|12.0
1190|US|90|38.0
1191|Spain|91|15.0
1192|Italy|90|22.0
1193|France|93|34.0
1194|US|88|13.0
1195|Italy|87|
1196|France|96|
1197|Australia|85|30.0
1198|France|86|23.0
1199|US|92|48.0
1200|Portugal|90|24.0
1201|US|86|38.0
1202|Portugal|86|15.0
1203|US|85|12.0
1204|US|93|40.0
1205|US|86|10.0
1206|Australia|90|14.0
1207|US|87|19.0
1208|France|93|
1209|Chile|87|27.0
1210|US|86|12.0
1211|US|89|20.0
1212|US|91|30.0
1213|Italy|88|30.0
1214|France|89|99.0
1215|France|84|23.0
1216|France|92|
1217|Portugal|87|21.0
1218|Germany|88|32.0
1219|Portugal|85|22.0
1220|Chile|86|18.0
1221|US|89|24.0
1222|US|92|35.0
1223|US|85|35.0
1224|Austria|90|19.0
1225|US|92|34.0
1226|New Zealand|83|24.0
1227|Italy|91|120.0
1228|France|94|
1229|US|85|18.0
1230|France|92|
1231|US|93|35.0
1232|US|94|40.0
1233|US|92|110.0
1234|US|90|26.0
1235|Australia|88|75.0
1236|South Africa|88|15.0
1237|US|87|13.0
1238|US|82|24.0
1239|Italy|85|
1240|France|94|131.0
1241|Spain|87|52.0
1242|Italy|85|10.0
1243|Italy|89|43.0
1244|US|87|13.0
1245|US|87|24.0
1246|US|88|25.0
1247|US|85|12.0
1248|France|86|25.0
1249|Hungary|89|76.0
1250|Argentina|86|12.0
1251|Italy|87|
1252|Spain|88|50.0
1253|Germany|90|23.0
1254|US|92|30.0
1255|US|83|14.0
1256|US|91|58.0
1257|France|92|56.0
1258|US|90|30.0
1259|US|86|25.0
1260|US|83|25.0
1261|US|88|14.0
1262|Spain|83|10.0
1263|US|84|38.0
1264|Italy|88|
1265|US|92|65.0
1266|Austria|88|15.0
1267|US|90|16.0
1268|US|93|100.0
1269|Portugal|84|10.0
1270|Austria|90|42.0
1271|Chile|87|14.0
1272|US|93|28.0
1273|Italy|91|20.0
